tier,leagueId,queue,name,entries,summonerId
CHALLENGER,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,Vayne's Ritualists,"{'summonerId': 'KAL0-h2-SOq-YcWu6IN5t9bf7mxrh4uckcnIJUAVYTSuzLQ', 'leaguePoints': 1085, 'rank': 'I', 'wins': 133, 'losses': 60, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': False}",KAL0-h2-SOq-YcWu6IN5t9bf7mxrh4uckcnIJUAVYTSuzLQ
CHALLENGER,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,Vayne's Ritualists,"{'summonerId': 'n76wsNDgVwlECONmbDdz6ABjNHz3ZXTcwh3xrwFD0s5DlI0', 'leaguePoints': 1054, 'rank': 'I', 'wins': 134, 'losses': 62, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': True}",n76wsNDgVwlECONmbDdz6ABjNHz3ZXTcwh3xrwFD0s5DlI0
CHALLENGER,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,Vayne's Ritualists,"{'summonerId': 'esYjmi7WKwvroE4xeuEg0aYb-OLMb-CN8Z-gU8t9ovUQLY5LOn6FhRaDXg', 'leaguePoints': 991, 'rank': 'I', 'wins': 120, 'losses': 45, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': False}",esYjmi7WKwvroE4xeuEg0aYb-OLMb-CN8Z-gU8t9ovUQLY5LOn6FhRaDXg
CHALLENGER,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,Vayne's Ritualists,"{'summonerId': '9ZzPmTCdfu8FvEz0pnTUV0AAOzyZrNwDQv9Gys5MtXmFvQ', 'leaguePoints': 924, 'rank': 'I', 'wins': 103, 'losses': 46, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': False}",9ZzPmTCdfu8FvEz0pnTUV0AAOzyZrNwDQv9Gys5MtXmFvQ
CHALLENGER,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,Vayne's Ritualists,"{'summonerId': 'a1efI9gzygMpDbGXa_k5sNzhRlJH1VIA-JSC6WN09xIPzDc', 'leaguePoints': 922, 'rank': 'I', 'wins': 152, 'losses': 86, 'veteran': True, 'inactive': False, 'freshBlood': False, 'hotStreak': True}",a1efI9gzygMpDbGXa_k5sNzhRlJH1VIA-JSC6WN09xIPzDc
CHALLENGER,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,Vayne's Ritualists,"{'summonerId': 'RZnPFTABmsNrpgtFlagxZtuYOsunlnvCGMQ61pm4vD0G-w-ZghsxW_6paw', 'leaguePoints': 922, 'rank': 'I', 'wins': 116, 'losses': 57, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': False}",RZnPFTABmsNrpgtFlagxZtuYOsunlnvCGMQ61pm4vD0G-w-ZghsxW_6paw
CHALLENGER,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,Vayne's Ritualists,"{'summonerId': 'P_KUydRyF218Js4AiBVk1JH121F_pELj4wDIFFqbNMn4UBo', 'leaguePoints': 844, 'rank': 'I', 'wins': 129, 'losses': 91, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': True}",P_KUydRyF218Js4AiBVk1JH121F_pELj4wDIFFqbNMn4UBo
CHALLENGER,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,Vayne's Ritualists,"{'summonerId': '22zeRro_aHK72h2jRu3mtRAVDwbw666ZjILnq0Vvnck2dsk', 'leaguePoints': 839, 'rank': 'I', 'wins': 178, 'losses': 120, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': False}",22zeRro_aHK72h2jRu3mtRAVDwbw666ZjILnq0Vvnck2dsk
CHALLENGER,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,Vayne's Ritualists,"{'summonerId': 'GdrK6aQDaFyRbqWfkMEo2iDM7hzJY1_TtRAFN_HOKGYbaM2f2EosplCs4g', 'leaguePoints': 828, 'rank': 'I', 'wins': 123, 'losses': 68, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': False}",GdrK6aQDaFyRbqWfkMEo2iDM7hzJY1_TtRAFN_HOKGYbaM2f2EosplCs4g
CHALLENGER,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,Vayne's Ritualists,"{'summonerId': '29PW1SaGXPOt3tZ11Zwewp24X9LwmQgQV0P3rpAKbhHNzA', 'leaguePoints': 816, 'rank': 'I', 'wins': 103, 'losses': 51, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': False}",29PW1SaGXPOt3tZ11Zwewp24X9LwmQgQV0P3rpAKbhHNzA
CHALLENGER,844f523b-88a5-3999-ac6e-4fefe349874c,RANKED_TFT,Vayne's Ritualists,"{'summonerId': 'SFPA5pr1rjRAkdDt3KX6ma00IIL81j_zMZdM-9sbgBdToNKPuIiRiO6h5g', 'leaguePoints': 814, 'rank': 'I', 'wins': 97, 'losses': 34, 'veteran': False, 'inactive': False, 'freshBlood': True, 'hotStreak': True}",SFPA5pr1rjRAkdDt3KX6ma00IIL81j_zMZdM-9sbgBdToNKPuIiRiO6h5g
